make,fuel,doors,body,drive,weight,engine-size,bhp,mpg,price
alfa-romero,unleaded,two,convertible,rwd,2548,130,111,27,13495
alfa-romero,unleaded,two,convertible,rwd,2548,130,111,27,16500
alfa-romero,unleaded,two,hatchback,rwd,2823,152,154,26,16500
audi,unleaded,four,saloon,fwd,2337,109,102,30,13950
audi,unleaded,four,saloon,4wd,2824,136,115,22,17450
audi,unleaded,two,saloon,fwd,2507,136,110,25,15250
audi,unleaded,four,saloon,fwd,2844,136,110,25,17710
audi,unleaded,four,wagon,fwd,2954,136,110,25,18920
audi,unleaded,four,saloon,fwd,3086,131,140,20,23875
audi,unleaded,two,hatchback,4wd,3053,131,160,22,
bmw,unleaded,two,saloon,rwd,2395,108,101,29,16430
bmw,unleaded,four,saloon,rwd,2395,108,101,29,16925
bmw,unleaded,two,saloon,rwd,2710,164,121,28,20970
bmw,unleaded,four,saloon,rwd,2765,164,121,28,21105
bmw,unleaded,four,saloon,rwd,3055,164,121,25,24565
bmw,unleaded,four,saloon,rwd,3230,209,182,22,30760
bmw,unleaded,two,saloon,rwd,3380,209,182,22,41315
bmw,unleaded,four,saloon,rwd,3505,209,182,20,36880
chevrolet,unleaded,two,hatchback,fwd,1488,61,48,53,5151
chevrolet,unleaded,two,hatchback,fwd,1874,90,70,43,6295
chevrolet,unleaded,four,saloon,fwd,1909,90,70,43,6575
dodge,unleaded,two,hatchback,fwd,1876,90,68,41,5572
dodge,unleaded,two,hatchback,fwd,1876,90,68,38,6377
dodge,unleaded,two,hatchback,fwd,2128,98,102,30,7957
dodge,unleaded,four,hatchback,fwd,1967,90,68,38,6229
dodge,unleaded,four,saloon,fwd,1989,90,68,38,6692
dodge,unleaded,four,saloon,fwd,1989,90,68,38,7609
dodge,unleaded,,saloon,fwd,2191,98,102,30,8558
dodge,unleaded,four,wagon,fwd,2535,122,88,30,8921
dodge,unleaded,two,hatchback,fwd,2811,156,145,24,12964
honda,unleaded,two,hatchback,fwd,1713,92,58,54,6479
honda,unleaded,two,hatchback,fwd,1819,92,76,38,6855
honda,unleaded,two,hatchback,fwd,1837,79,60,42,5399
honda,unleaded,two,hatchback,fwd,1940,92,76,34,6529
honda,unleaded,two,hatchback,fwd,1956,92,76,34,7129
honda,unleaded,four,saloon,fwd,2010,92,76,34,7295
honda,unleaded,four,wagon,fwd,2024,92,76,34,7295
honda,unleaded,two,hatchback,fwd,2236,110,86,33,7895
honda,unleaded,two,hatchback,fwd,2289,110,86,33,9095
honda,unleaded,four,saloon,fwd,2304,110,86,33,8845
honda,unleaded,four,saloon,fwd,2372,110,86,33,10295
honda,unleaded,four,saloon,fwd,2465,110,101,28,12945
honda,unleaded,two,saloon,fwd,2293,110,100,31,10345
isuzu,unleaded,four,saloon,rwd,2337,111,78,29,6785
isuzu,unleaded,two,saloon,fwd,1874,90,70,43,
isuzu,unleaded,four,saloon,fwd,1909,90,70,43,
isuzu,unleaded,two,hatchback,rwd,2734,119,90,29,11048
jaguar,unleaded,four,saloon,rwd,4066,258,176,19,32250
jaguar,unleaded,four,saloon,rwd,4066,258,176,19,35550
jaguar,unleaded,two,saloon,rwd,3950,326,262,17,36000
mazda,unleaded,two,hatchback,fwd,1890,91,68,31,5195
mazda,unleaded,two,hatchback,fwd,1900,91,68,38,6095
mazda,unleaded,two,hatchback,fwd,1905,91,68,38,6795
mazda,unleaded,four,saloon,fwd,1945,91,68,38,6695
mazda,unleaded,four,saloon,fwd,1950,91,68,38,7395
mazda,unleaded,two,hatchback,rwd,2380,70,101,23,10945
mazda,unleaded,two,hatchback,rwd,2380,70,101,23,11845
mazda,unleaded,two,hatchback,rwd,2385,70,101,23,13645
mazda,unleaded,two,hatchback,rwd,2500,80,135,23,15645
mazda,unleaded,two,hatchback,fwd,2385,122,84,32,8845
mazda,unleaded,four,saloon,fwd,2410,122,84,32,8495
mazda,unleaded,two,hatchback,fwd,2385,122,84,32,10595
mazda,unleaded,four,saloon,fwd,2410,122,84,32,10245
mazda,diesel,,saloon,fwd,2443,122,64,42,10795
mazda,unleaded,four,hatchback,fwd,2425,122,84,32,11245
